theme,                         url,                                                                               img,                                                                                                              lines,                                                                                  author
CURIOSITY,/inspirational-quotes/4543-be-curious-not-judgmental,https://assets.passiton.com/quotes/quote_artwork/4543/medium/20220520_friday_quote.jpg?1652390708,"Be curious, not judgmental. ",<Author:0x00007fbd220d5890>
CURIOSITY,/inspirational-quotes/6799-above-all-watch-with-glittering-eyes-the-whole,https://assets.passiton.com/quotes/quote_artwork/6799/medium/20220519_thursday_quote.jpg?1652390687,"Above all, watch with glittering eyes the whole world around you, because the greatest secrets are always hidden in the most unlikely places.",<Author:0x00007fbd221146d0>
CURIOSITY,/inspirational-quotes/8329-curiosity-is-more-important-than-knowledge,https://assets.passiton.com/quotes/quote_artwork/8329/medium/20220518_wednesday_quote.jpg?1652390654,Curiosity is more important than knowledge.,<Author:0x00007fbd221aba30>
CURIOSITY,/inspirational-quotes/8328-i-think-at-a-childs-birth-if-a-mother-could,https://assets.passiton.com/quotes/quote_artwork/8328/medium/20220517_tuesday_quote.jpg?1652390623,"I think, at a child's birth, if a mother could ask a fairy godmother to endow it with the most useful gift, that gift would be curiosity.",<Author:0x00007fbd2223e010>
CURIOSITY,/inspirational-quotes/4014-somewhere-something-incredible-is-waiting-to,https://assets.passiton.com/quotes/quote_artwork/4014/medium/20220516_monday_quote.jpg?1652390606,"Somewhere, something incredible is waiting to be known.",<Author:0x00007fbd2228e420>
ENCOURAGEMENT,/inspirational-quotes/7826-the-world-needs-dreamers-and-the-world-needs,https://assets.passiton.com/quotes/quote_artwork/7826/medium/20220513_friday_quote.jpg?1651853654,"The world needs dreamers and the world needs doers. But above all, the world needs dreamers who do.",<Author:0x00007fbd223535e0>
ENCOURAGEMENT,/inspirational-quotes/7075-our-chief-want-is-someone-who-will-inspire-us,https://assets.passiton.com/quotes/quote_artwork/7075/medium/20220512_thursday_quote.jpg?1651853635,Our chief want is someone who will inspire us to be what we know we could be.,<Author:0x00007fbd2239b908>
ENCOURAGEMENT,/inspirational-quotes/5008-encouragement-is-oxygen-to-the-soul,https://assets.passiton.com/quotes/quote_artwork/5008/medium/20220511_wednesday_quote.jpg?1651853616,Encouragement is oxygen to the soul.,<Author:0x00007fbd223f2d20>
ENCOURAGEMENT,/inspirational-quotes/3521-correction-does-much-but-encouragement-does-more,https://assets.passiton.com/quotes/quote_artwork/3521/medium/20220510_tuesday_quote.jpg?1651853598,"Correction does much, but encouragement does more.",<Author:0x00007fbd224b8c00>
ENCOURAGEMENT,/inspirational-quotes/3434-most-of-us-swimming-against-the-tides-of,https://assets.passiton.com/quotes/quote_artwork/3434/medium/20220509_monday_quote.jpg?1651853509,"Most of us, swimming against the tides of trouble the world knows nothing about, need only a bit of praise or encouragement�and we will make the goal.",<Author:0x000055b945ecb6a8>
SPREAD YOUR WINGS,/inspirational-quotes/8327-ive-been-absolutely-terrified-every-moment-of,https://assets.passiton.com/quotes/quote_artwork/8327/medium/20220506_friday_quote.jpg?1651176300,I've been absolutely terrified every moment of my life and I've never let it keep me from doing a single thing that I wanted to do.,<Author:0x000055b9479f9c90>
SPREAD YOUR WINGS,/inspirational-quotes/7884-embrace-uncertainty-some-of-the-most-beautiful,https://assets.passiton.com/quotes/quote_artwork/7884/medium/20220505_thursday_quote.jpg?1651176276,Embrace uncertainty. Some of the most beautiful chapters in our lives won�t have a title until much later.,<Author:0x000055b947dceb68>
SPREAD YOUR WINGS,/inspirational-quotes/3586-a-mind-that-is-stretched-by-a-new-experience,https://assets.passiton.com/quotes/quote_artwork/3586/medium/20220504_wednesday_quote.jpg?1651176241,A mind that is stretched by a new experience can never go back to its old dimensions.,<Author:0x000055b948825008>
SPREAD YOUR WINGS,/inspirational-quotes/8326-and-then-there-is-the-most-dangerous-risk-of,https://assets.passiton.com/quotes/quote_artwork/8326/medium/20220503_tuesday_quote.jpg?1651176218,And then there is the most dangerous risk of all...the risk of spending your life not doing what you want on the bet you can buy yourself the freedom to do it later.,<Author:0x000055b948a06390>
SPREAD YOUR WINGS,/inspirational-quotes/6720-no-one-can-really-predict-to-what-heights-you,https://assets.passiton.com/quotes/quote_artwork/6720/medium/20220502_monday_quote.jpg?1651176192,No one can really predict to what heights you might soar. Even you will not know until you spread your wings.,<Author:0x000055b948b03018>
SMILE,/inspirational-quotes/8325-smile-at-the-obstacle-for-it-is-a-bridge,https://assets.passiton.com/quotes/quote_artwork/8325/medium/20220429_friday_quote.jpg?1650648519,"Smile at the obstacle, for it is a bridge.",<Author:0x000055b948b80220>
SMILE,/inspirational-quotes/7043-we-shall-never-know-all-the-good-that-a-simple,https://assets.passiton.com/quotes/quote_artwork/7043/medium/20220428_thursday_quote.jpg?1650648496,We shall never know all the good that a simple smile can do.,<Author:0x000055b9491b7eb8>
SMILE,/inspirational-quotes/7530-a-warm-smile-is-the-universal-language-of,https://assets.passiton.com/quotes/quote_artwork/7530/medium/20220427_wednesday_quote.jpg?1650648477,A warm smile is the universal language of kindness.,<Author:0x000055b949218600>
SMILE,/inspirational-quotes/7598-a-gentle-word-a-kind-look-a-good-natured,https://assets.passiton.com/quotes/quote_artwork/7598/medium/20220426_tuesday_quote.jpg?1650648453,"A gentle word, a kind look, a good-natured smile can work wonders and accomplish miracles.",<Author:0x000055b9492cf058>
HARD WORK,/inspirational-quotes/3549-if-it-wasnt-hard-everyone-would-do-it-its-the,https://assets.passiton.com/quotes/quote_artwork/3549/medium/20220422_friday_quote_updated.jpg?1650641875,"If it wasn't hard, everyone would do it. It's the hard that makes it great.",<Author:0x000055b949364540>
HARD WORK,/inspirational-quotes/6141-the-highest-reward-for-mans-toil-is-not-what-he,https://assets.passiton.com/quotes/quote_artwork/6141/medium/20220421_thursday_quote.jpg?1650051980,"The highest reward for man's toil is not what he gets for it, but what he becomes by it.",<Author:0x000055b9493e45b0>
HARD WORK,/inspirational-quotes/7893-success-isnt-always-about-greatness-its-about,https://assets.passiton.com/quotes/quote_artwork/7893/medium/20220420_wednesday_quote.jpg?1650051954,Success isn't always about greatness. It's about consistency. Consistent hard work leads to success. Greatness will come.,<Author:0x000055b9494509b8>
